Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NCR,4.7,4.3,4.0,3.6,3.7,3.8,3.9,3.9,3.9,3.9
CAR,26,25.7,25.4,25.1,24.3,23.6,22.8,21.8,20.7,19.7
Region I,25.9,24.6,23.3,22,20.8,19.7,18.5,16.7,14.9,13.1
Region II,26.8,26.4,25.9,25.5,24.4,23.2,22.1,20.0,17.9,15.8
Region III,13.1,13.3,13.5,13.7,13.4,13.2,12.9,12.3,11.8,11.2
Region IV-A,10.3,10.8,11.4,11.9,11.6,11.2,10.9,10.3,9.7,9.1
Region IV-B,40.6,38.6,36.5,34.5,33.3,32.2,31,28.8,26.6,24.4
Region V,44.2,44.2,44.2,44.2,43.2,42.1,41.1,39.4,37.7,36
Region VI,29.1,29.7,30.2,30.8,30.2,29.7,29.1,26.9,24.6,22.4
Region VII,35.9,34.3,32.6,31,30.7,30.5,30.2,29.3,28.5,27.6
Region VIII,41.5,41.9,42.2,42.6,43.5,44.3,45.2,43.0,40.9,38.7
Region IX,45,45.3,45.5,45.8,43.9,42.0,40.1,38.0,36.0,33.9
Region X,39,39.4,39.7,40.1,39.9,39.7,39.5,38.5,37.6,36.6
Region XI,30.6,30.9,31.1,31.4,31.2,30.9,30.7,27.8,24.9,22
Region XII,37.9,38.0,38.2,38.3,40.4,42.6,44.7,42.2,39.8,37.3
Caraga,49.2,50.9,52.7,54.4,49.7,45.0,40.3,39.9,39.5,39.1
ARMM,47.1,47.2,47.3,47.4,50.2,53.0,55.8,55.1,54.4,53.7
