,Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,NCR,88.5,85.3,85.3,79.7,82.9,83.1,80.0,78.7,74.7,82.3
2,CAR,75.0,71.7,75.8,77.1,71.8,78.9,78.2,82.6,86.4,86.2
3,Region I,81.6,82.7,84.8,83.1,82.8,82.4,85.2,91.1,94.5,91.5
4,Region II,78.5,78.1,80.4,78.3,77.5,73.1,82.0,87.9,87.1,89.0
5,Region III,82.2,80.7,81.4,81.9,80.2,80.3,82.6,90.8,88.9,89.1
6,Region IV-A,81.8,79.3,81.6,84.8,82.1,85.4,84.8,72.5,92.3,88.5
7,Region IV-B,70.0,68.1,71.6,69.4,72.9,72.4,74.2,78.1,86.9,90.2
8,Region V,73.0,74.4,74.4,74.4,74.5,74.8,76.8,85.0,86.3,85.4
9,Region VI,70.6,71.9,72.6,72.5,71.2,74.6,78.6,85.7,90.1,88.9
10,Region VII,77.8,78.4,78.8,76.8,76.6,80.4,80.9,85.8,86.1,88.5
11,Region VIII,65.4,69.5,71.6,69.5,71.8,66.1,74.0,80.9,85.4,87.9
12,Region IX,58.6,60.1,58.8,59.8,58.7,59.9,55.5,60.8,92.9,79.7
13,Region X,65.9,67.9,68.7,64.5,65.5,63.8,63.3,72.1,82.6,84.0
14,Region XI,57.2,65.5,62.7,67.0,63.7,61.6,64.5,75.5,83.3,88.8
15,Region XII,62.1,65.5,66.0,62.3,63.3,63.4,66.0,73.6,93.3,83.7
16,Caraga,64.2,71.8,71.9,66.4,71.2,66.0,72.4,80.7,86.9,84.2
17,ARMM,31.4,41.3,37.5,37.2,39.3,23.5,26.6,39.2,35.3,37.1
