Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NCR,2.37,2.83,2.92,4.07,3.31,2.93,4.1,4.36,4.25,2.05
CAR,5.67,6.41,5.49,5.04,6.0,4.91,4.79,3.75,2.84,1.9
Region I,3.93,3.76,3.09,3.6,3.78,3.36,3.1,1.92,1.13,1.13
Region II,4.72,4.95,4.3,4.81,4.95,4.73,3.93,2.42,2.61,1.74
Region III,3.69,3.97,3.94,3.72,4.15,4.07,3.71,1.9,2.28,1.45
Region IV-A,3.9,4.41,3.87,2.57,3.75,2.46,3.26,6.03,1.55,1.76
Region IV-B,6.7,7.4,6.4,6.93,6.25,6.13,5.87,4.73,2.78,1.66
Region V,6.06,5.78,5.9,5.8,5.79,5.7,5.35,3.19,2.72,2.54
Region VI,6.38,6.14,6.03,6.05,6.56,5.64,4.8,2.91,1.97,1.76
Region VII,5.0,4.65,4.59,4.78,4.82,4.23,4.19,2.88,2.68,1.85
Region VIII,8.03,6.99,6.51,7.19,6.42,7.97,5.84,4.0,2.76,2.01
Region IX,10.4,9.89,10.27,10.21,10.41,9.91,11.5,9.25,1.22,3.73
Region X,8.07,7.23,7.28,8.44,7.95,8.74,8.85,6.15,3.62,3.0
Region XI,10.49,8.26,9.09,8.12,8.8,9.35,8.58,5.28,3.48,1.9
Region XII,8.87,8.29,8.33,9.16,8.9,8.59,7.94,5.82,1.14,3.15
Caraga,8.53,6.42,6.62,8.07,6.72,8.05,6.47,4.07,2.28,2.84
ARMM,19.76,15.77,17.99,18.63,18.1,22.72,23.81,14.04,19.02,17.17
