Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NCR,73.21,72.53,71.95,71.21,96.9,97.16,94.42,92.54,89.67,88.13
CAR,72.68,71.2,71.21,75.31,97.64,99.58,97.3,95.51,94.53,92.18
Region I,76.46,74.87,74.33,82.2,98.32,98.89,97.38,96.81,96.84,95.39
Region II,73.98,71.69,70.19,75.74,95.34,96.07,96.02,96.49,96.32,96.31
Region III,78.76,78.06,77.69,76.43,98.04,98.55,96.74,96.22,95.64,93.85
Region IV-A,79.1,78.43,78.08,71.67,93.94,95.69,95.01,92.47,92.03,89.94
Region IV-B,80.76,78.9,79.89,85.2,95.04,97.63,95.52,93.52,92.33,92.25
Region V,81.19,80.57,80.01,89.06,97.19,98.55,96.79,95.5,94.02,91.09
Region VI,71.68,69.96,69.11,75.34,93.38,95.56,95.43,95.83,95.79,95.43
Region VII,73.43,72.65,73.51,76.09,95.48,97.38,97.43,97.36,96.75,96.02
Region VIII,76.39,75.51,76.23,87.65,95.39,95.96,94.25,92.61,91.68,89.57
Region IX,75.72,74.96,75.06,76.97,94.34,97.33,94.48,90.5,92.15,90.23
Region X,74.48,73.99,74.45,74.03,92.73,93.91,92.44,91.0,90.25,89.68
Region XI,70.67,69.78,70.44,75.11,99.37,99.54,97.06,97.85,96.09,96.65
Region XII,72.15,72.99,73.96,75.65,88.65,90.09,88.13,87.16,88.22,87.72
Caraga,75.77,74.8,73.85,79.95,96.95,94.97,93.94,94.32,94.54,94.29
ARMM,84.83,91.94,95.45,76.16,103.25,105.7,93.0,87.73,75.64,69.64
