Region,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
NCR,71.6,78.7,79.6,75.8,75.9,79.1,76.7,76.3,77.3,74.2
CAR,83.7,75.7,82.4,63.4,75.2,80.0,78.4,76.3,76.9,70.0
Region I,84.2,82.3,81.2,80.4,78.8,75.0,80.3,82.5,83.6,76.4
Region II,77.2,79.0,79.8,78.0,79.1,77.8,77.6,82.0,79.3,73.7
Region III,74.6,76.6,76.3,76.1,77.8,75.2,76.0,83.0,79.2,72.4
Region IV-A,80.1,80.6,81.0,77.3,79.8,84.0,82.3,77.9,82.3,81.6
Region IV-B,73.2,72.6,72.6,73.1,70.4,72.8,76.6,76.8,77.4,76.6
Region V,70.3,74.0,73.1,73.6,73.0,71.4,71.9,75.5,76.4,69.4
Region VI,70.0,75.5,76.3,76.3,74.6,75.5,75.7,78.3,81.9,74.8
Region VII,70.3,72.6,73.3,73.1,75.4,74.6,74.4,78.4,75.8,75.3
Region VIII,69.0,69.7,70.6,69.9,69.7,67.8,70.7,74.1,69.2,70.1
Region IX,71.0,69.4,68.7,69.7,68.3,70.0,64.6,67.7,77.2,70.6
Region X,66.4,71.7,70.4,65.9,79.9,65.0,72.2,69.1,76.9,72.1
Region XI,64.7,70.4,72.6,68.8,73.0,68.6,72.2,71.9,79.8,73.4
Region XII,55.9,70.9,68.2,73.3,72.3,69.2,71.8,73.9,84.5,73.0
Caraga,69.9,73.0,73.6,59.9,71.0,69.5,69.8,73.4,77.5,70.6
ARMM,35.2,65.4,53.6,65.4,59.5,56.0,52.5,56.2,48.7,64.0
