Region,Both Sexes 2006,Both Sexes 2007,Both Sexes 2008,Both Sexes 2009,Both Sexes 2010,Both Sexes 2011,Both Sexes 2012,Both Sexes 2013,Both Sexes 2014,Both Sexes 2015,Boys 2006,Boys 2007,Boys 2008,Boys 2009,Boys 2010,Boys 2011,Boys 2012,Boys 2013,Boys 2014,Boys 2015,Girls 2006,Girls 2007,Girls 2008,Girls 2009,Girls 2010,Girls 2011,Girls 2012,Girls 2013,Girls 2014,Girls 2015
Philippines,71.7,73.1,73.3,72.2,72.1,71.0,72.7,77.7,83.7,84.0,67.3,68.4,69.1,67.4,67.7,66.8,68.6,74.4,81.4,81.0,76.7,78.3,77.9,77.5,77.1,75.7,77.2,81.3,86.2,87.4
NCR,88.5,85.3,85.3,79.7,82.9,83.1,80.0,78.7,74.7,82.3,85.8,81.3,82.9,76.5,79.5,79.8,76.6,76.4,72.1,79.9,91.3,89.4,87.5,83.1,86.5,85.9,83.8,81.3,77.6,84.9
CAR,75.0,71.7,75.8,77.1,71.8,78.9,78.2,82.6,86.4,86.2,69.7,67.2,71.1,71.1,68.1,73.7,74.3,80.0,83.1,83.7,81.0,76.8,81.2,84.0,76.0,84.8,82.7,85.5,90.1,89.1
Region I,81.6,82.7,84.8,83.1,82.8,82.4,85.2,91.1,94.5,91.5,78.8,79.7,82.6,79.8,80.0,79.4,82.7,89.1,93.6,90.1,84.9,86.1,87.3,86.8,86.0,85.8,88.0,93.4,95.6,93.0
Region II,78.5,78.1,80.4,78.3,77.5,73.1,82.0,87.9,87.1,89.0,73.1,73.5,76.7,73.3,73.1,69.4,78.2,84.8,84.2,85.6,84.8,83.2,84.6,83.9,82.5,77.3,86.3,91.3,90.3,92.9
Region III,82.2,80.7,81.4,81.9,80.2,80.3,82.6,90.8,88.9,89.1,78.6,77.1,77.8,78.2,76.1,76.8,79.4,88.4,86.5,86.7,86.2,84.7,85.3,86.1,84.9,84.3,86.2,93.4,91.7,91.9
Region IV-A,81.8,79.3,81.6,84.8,82.1,85.4,84.8,72.5,92.3,88.5,78.0,74.5,77.6,80.1,77.4,81.5,80.5,69.2,90.5,86.1,86.1,84.6,86.1,89.3,87.5,89.0,89.7,76.3,94.2,91.1
Region IV-B,70.0,68.1,71.6,69.4,72.9,72.4,74.2,78.1,86.9,90.2,64.7,64.1,67.3,65.0,67.7,67.9,69.2,74.6,84.5,86.8,76.1,72.4,76.5,74.4,78.9,77.5,79.8,82.0,89.5,94.1
Region V,73.0,74.4,74.4,74.4,74.5,74.8,76.8,85.0,86.3,85.4,68.2,70.0,70.0,70.1,69.7,70.0,72.4,81.3,83.4,82.5,78.5,79.3,79.3,79.4,80.0,80.2,81.8,89.0,89.4,88.7
Region VI,70.6,71.9,72.6,72.5,71.2,74.6,78.6,85.7,90.1,88.9,64.1,65.8,67.1,66.7,65.4,69.2,73.4,82.2,87.8,85.4,78.2,78.9,78.9,79.4,77.9,80.8,84.5,89.6,92.6,93.0
Region VII,77.8,78.4,78.8,76.8,76.6,80.4,80.9,85.8,86.1,88.5,72.1,72.5,73.6,71.2,71.0,74.7,75.0,81.8,82.3,83.1,84.2,84.9,84.7,83.3,82.9,86.8,87.5,90.3,90.3,93.7
Region VIII,65.4,69.5,71.6,69.5,71.8,66.1,74.0,80.9,85.4,87.9,60.1,63.9,65.8,64.0,66.6,60.9,69.5,76.6,82.7,84.3,71.1,75.8,78.3,75.8,77.7,72.2,79.3,85.8,88.3,92.1
Region IX,58.6,60.1,58.8,59.8,58.7,59.9,55.5,60.8,92.9,79.7,52.4,54.1,53.5,54.1,53.3,54.1,50.5,57.1,90.7,75.8,65.8,67.1,64.9,66.6,65.1,66.7,61.3,64.9,94.9,84.1
Region X,65.9,67.9,68.7,64.5,65.5,63.8,63.3,72.1,82.6,84.0,60.4,62.7,63.4,58.1,59.9,58.2,58.7,67.0,79.0,79.5,72.1,73.9,74.7,71.9,71.9,70.3,68.5,78.0,86.5,89.1
Region XI,57.2,65.5,62.7,67.0,63.7,61.6,64.5,75.5,83.3,88.8,52.1,59.4,69.4,60.7,57.7,55.6,58.8,70.6,80.1,84.4,63.1,72.4,69.4,74.3,70.8,68.7,71.2,81.1,86.9,93.8
Region XII,62.1,65.5,66.0,62.3,63.3,63.4,66.0,73.6,93.3,83.7,56.9,60.1,60.5,56.6,58.8,58.2,61.1,69.0,90.5,80.0,67.7,71.4,72.2,68.7,68.4,69.2,71.5,78.7,96.2,87.7
Caraga,64.2,71.8,71.9,66.4,71.2,66.0,72.4,80.7,86.9,84.2,58.3,65.9,66.9,60.1,65.8,60.0,66.0,76.0,83.9,81.0,71.2,78.6,77.5,73.8,77.6,73.2,79.9,86.1,90.0,87.9
ARMM,31.4,41.3,37.5,37.2,39.3,23.5,26.6,39.2,35.3,37.1,26.1,37.7,34.6,33.1,36.8,22.0,24.5,36.4,33.9,34.2,37.2,44.8,40.2,41.3,41.7,24.7,28.6,41.8,36.6,40.1
